Text,Actual Label,Predicted TF-IDF,Predicted VADER,Predicted BERT
feeling effect lifting weight couple time last week loving,1,1,1,1
literally feel hateful glare directed,0,0,0,0
feel fucked available pre order href http churchoffuck,0,0,0,0
reply feeling suspicious,0,0,0,0
mess completely stressed feeling terrified wrong thing mi stepping way dishonoring upsetting medicine family participant quest,0,0,0,0
feel pretty transition,1,1,1,1
feel like time like thing seem little uncertain thank god small thing,0,0,1,1
became dismayed studied people wearing started feeling like though outfit gorgeous bought way,1,1,1,0
didnt really want talk anyone kind selfish feel id rather ignore selfish,0,0,0,0
feel lucky awesome life family even though belong middle class,1,1,1,1
feel truly delighted already changed short period time,1,1,1,1
say hope dashed truly enjoy movie leave feeling disappointed,0,0,1,0
im happy say im feeling much creative long time,1,1,1,1
wanting write secret life live one handful people know one keep secret one feel embarrassed even though know perfectly human normal deep feel right,0,0,1,1
feeling rather unhappy lately id feeling left group friend,0,0,1,0
feel bit shamed dr,0,0,0,0
want tell im feeling dont know start want tell everything im afraid youll break heart would something easy hard,0,0,1,0
feel like girl fearless excited life discovery,1,1,1,1
feel uncomfortable around people syndrome,0,0,0,0
saw gain scale morning surprise make feel pretty lousy lot water weight disgestive issue pas need put work push month till christmas hear say,0,0,1,0
kept staring quivering flower feeling like violent flower time lapse photography flower shivering vigorous growth accelerated flickering sun racing sky heralding end relationship even started,0,0,1,0
feel ashamed afraid let people come see messy house afraid pulled car towed unpaid ticket afraid blood work come back diagnosis imminent death,0,0,0,0
im academic addict cant say im really feeling eager right,1,1,1,0
feeling little nervous anxious never second guessing decision,0,0,0,0
one bearing pain anguish yet one continues feel hurt as still gallivanting showing,0,0,0,0
used feel would hated whatever kept quiet god,0,0,0,0
shot bitch since morning feelin little gun horny,1,1,0,0
feel thoroughly unwelcome school individual people clearly deeply moved work choice,0,0,0,0
feel privileged selected fund receive support,1,1,1,1
feel proud blessed carrying baby,1,1,1,1
like moving long lead time feeling rushed,0,0,1,1
feel like passionate something okay vocal well,1,1,1,1
still feel constantly paranoid anxious keep wanting go facebook check back keep wanting go text phone feel edgy work want come straight home,0,0,0,0
would never able feel like today buoied sense peace calm come hope,1,1,1,0
know lady real athlete morning thinking athletic ability feeling pleased jonti long event,1,1,1,1
genuinely say bottom heart feel absolutely thankful,1,1,1,1
first time year feeling cold,0,0,1,0
actually feeling distressed,0,0,0,0
honestly feel im ignored left alone,0,0,0,0
touch pissed janine appears totally forgotten birthday feel sarcastic comment card next week make,0,0,0,0
grown blessed proud say healthy year old black male child feel good,1,1,1,1
feel empty inside iphone wallpaper mobile wallpaper wap folder img src http image,0,0,0,0
still wtf feeling regretful feeling today though kiss stranger,0,0,0,0
ive intensely feeling unloved,0,0,0,0
also feel terrified found since started saying terrified loud feel le terrified,0,0,0,0
home feeling somewhat dull girl sure real life like anymore short time away amazing quickly brain go vacation,0,0,1,0
barely maintain long distance relationship im invested feeling shitty alone,0,0,0,0
try feel im judged eye see weird vain bastard think much,0,0,0,0
feel relieved like finally knew thinking feeling,1,1,1,1
hoped would would feel disappointed depleted,0,0,0,0
feel like class clown im outgoing person,1,1,1,0
feel pressured people say im going beat whatever,0,0,0,0
feel completely shaken,0,0,0,0
understand feeling greatly value passionate approach life benefit daily ability empathize feeling seem lack capacity return gift,1,1,1,1
feeling really ok,1,1,1,1
feel like want rebellious regret done single daughter,0,0,0,0
feel like liked hair much better using sulfate free brand believe using reputable brand,1,1,1,1
still feeling pretty optimistic confident ability able,1,1,1,1
would sometimes feel awkward talking brother mum dont see awhile,0,0,0,0
ive feeling anxious nauseous tired also elated night crawl bed,0,0,1,1
never wanted kissed never wanted break code shed stolen feel like lost something never get back,0,0,0,0
feeling thankful relieved,1,1,1,1
feel like greedy little traitor looking looking among cover hey little snotface take,0,0,1,0
feel place well,1,1,1,0
wait human ahkman feel kiss frightened,0,0,0,1
suppose enough statement might feel contribution unfortunate attitude rhetoric conservative christian america,0,0,0,0
im big city solo im afraid going six day wandering around lost six day feeling uncomfortable six day knowing dress six day knowing six day knowing eat six day disaster disaster disaster,0,0,0,0
feel like feel contented,1,1,1,0
feel honoured friend,1,1,1,1
completely savouring every moment feeling single carefree unbound,1,1,1,1
always conceal real true feeling im afraid venerable taking advantage well happened really destroyed,0,0,1,0
feel like rely entirelly god word yet impatient wait,0,0,1,0
busy feel like free time home,1,1,1,1
feel fabulous,1,1,1,1
feeling little irritable mun part fun part stressful part uncomfortable making part horrible regardless record set straight,0,0,0,0
feel like tortured whole time,0,0,0,0
feel glad,1,1,1,1
left sizzler feeling contented,1,1,1,1
told touched needle would punch feeling little hostile midst pain,0,0,0,0
ive somehow epiphany toned need validation still work progress feel le need liked people dont deserve attention,1,1,1,0
already packed want wait around talk friend feeling irritable tired eventually gave trying go first place made feel situation,0,0,0,0
got feeling respected choice making way answering nobody,1,1,1,1
feeling anxious going therapy w,0,0,0,0
feel like truth wasnt working lost patience felt would better trying please,0,0,1,0
feel skeptical,0,0,0,0
feel hopeful best give go next week despite dozen final assignment mark,1,1,1,1
know feeling sarcastic tonight christian seems enjoy banter every time seth apologizes behavior christian tell quite alright lock eye,0,0,1,1
feel unimportant inadequate,0,0,0,0
feel like like fake bogart said one point show,0,0,1,0
im siting couch feeling like something productive im sure,1,1,1,0
feel disgusted embarrased sad handled situation,0,0,0,0
feeling shailene perfect,1,1,1,1
im feeling terrible couldnt feel worse,0,0,0,0
feel invigorated energized ready go save world,1,1,1,1
cant help feeling ugly,0,0,1,0
feel kind dumb saying upset much strength lost last month,0,0,0,0
feel somewhat hopeful thing,1,1,1,1
feel much care careeeeee care savage garden three plan tomorrow,0,1,1,0
start feeling angry need actually stop figure im really feeling deal life balanced way,0,0,0,0
feel quietly ecstatic painless change grocery expense,1,1,1,1
may posting actively fortunately keep camera pen notebook ever go whenever feel passionate something write take many photo,1,1,1,1
feel like suspicious im happy see,0,0,1,1
feel somewhat brave posting photo,1,1,1,1
feel helpless car cash say,0,0,0,0
want people leave alone make special feel really vain bad people pay much attention,0,0,0,0
feel pain come representing ungrateful client,0,0,0,0
feel im like bird flying air carefree manner,1,1,1,1
im feeling bitchy saturday,0,0,0,0
feel confident prayer granted,1,1,1,1
feel unwelcome work sometimes think people might talking,0,0,0,0
read much discovery exploration wild west feel concept precious taking part often book brings refined feel sit back chair quiet time,1,1,1,1
first anatomy lesson,0,1,1,0
feeling really needy right,0,0,0,0
feel sad levi certainly wont want run race typical peer there way hell win,0,0,0,0
feel little loyal toward father used work mine retired,1,1,1,1
knew holy spirit work plus feel divine gooooood way like massage reassuring,1,1,1,1
secretly well guess secretly anymore feel insecure time want learn come common ground,0,0,0,0
compare beauty feel unsure begin angel nature,0,0,1,1
packed time around feeling apprehensive challenging season happy decompress day dad coming home,0,0,1,1
stayed letting feel little melancholy,0,0,0,0
feel bothered thing used keep night,0,0,0,0
feel bouncy weird strange love,1,0,1,1
believe happy healthy relationship likely feel much energized inspired reflected overall health appearance,1,1,1,1
felt happy received letter telling admitted university,1,1,1,1
feeling im going seriously envious whoever win really want one,0,0,1,1
arlovski ufc win feel really horrible leave comment,0,0,0,0
feel really wronged commodore,0,0,0,0
returned feeling rejuvenated exhausted,0,0,0,0
feel shamed mentioning fact owned nokia,0,0,0,0
starting feel alarmed,0,0,0,0
wake every morning knowing hell feeling like crap stomach fire bone aching go bed every night feeling thing,0,0,0,0
ill feel terrible end dont know chose continue shoulder people cry one reliable person always turn,0,0,0,0
imagine countless law suit counter law suit based people feeling boo hoo hoo precious civil right violated,1,1,1,0
im straightforward theyd feel hurt,0,0,0,0
mellow feeling particularly fond human race blame fertile people really knowing say think deal,1,1,1,1
bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,1,1,1,1
weekend sleep feel bitter world,0,0,0,0
feel time good enough aspect fiance mother friend daughter,1,0,1,0
im afraid fuck like phil im perfect time life feel much flawless,1,1,1,1
still feel vulnerable around,0,0,0,0
found price staying feeling gorgeous sky rocketed decided take personal experience use give fellow student people budget helping hand,1,1,1,1
feel honored part team attending launch definitely eye opener something new,1,1,1,1
feel perfect jumping point come,1,1,1,1
feel nervous anyone get close,0,0,0,0
feel aching chest,0,0,0,0
completely understand couldnt actual fireplace seeing painted ruined feel well done set,1,0,0,0
im starting feel overwhelmed come research book,0,0,1,0
smoke hi feel hat ome kind contented like,1,1,1,1
write share feeling family event useful product good food exciting trip kitchen endeavor well occasional musing,1,1,1,1
im feeling insecure sad dont know book,0,0,0,0
feel fooled played relieved,1,1,1,1
make new friend process dont feel slutty lol,1,1,1,1
didnt used feel defective younger yet sometimes,0,0,1,0
feeling discouraged point,0,0,0,0
begged husband last year thought id lose weight feel amazing,1,1,1,1
couldnt help feel like smug bastard tv already called first number ticket wasnt even close picked,1,1,0,0
punched work sunday sighed brunch trumpeter waldo carter said behind know exactly feel startled flinched,0,0,0,0
argue disabled mda telethon make feel take away want respected,1,1,1,0
im feeling agitated today,0,0,0,0
feel popular right,1,1,1,1
know point im starting feel doubtful decision made,0,0,0,0
never knew hurt feeling thought sarcastic return,0,0,1,0
feel like im finally position decide whether indulge joyful jubilation claim free chocolate bar,1,1,1,1
feel content think,1,1,1,1
put christmas tree im feeling fairly festive,1,1,1,1
make big deal like least buy card feel special,1,1,1,1
know im best place life still dealing infertility issue feel lot thankful,1,1,1,1
express feeling im homophobic boring denial,0,0,0,0
dont god turn doesnt mean dont feel offended,0,0,0,0
dont know crazy girl think name katja living feel like real life sort disheartened disallusioned clerk,0,0,1,0
feel like talented young man feel talented work,1,1,1,0
took several deep breath feeling cold air burn way lung exhaling little cloud vapor,0,0,1,0
know sad read let woman feel alone,0,0,0,0
hate clear voice hate stammer hate feel way humiliated frightened bone want,0,0,0,0
never cease feel amused single facial expression power modifying student behavior,1,1,0,1
feel inner conflict sense duty desire play entertained thought sex,1,1,1,0
kept heart open exposed watching news every night would likely never recover rush helpless hopeless feeling created tragic story,0,0,0,0
spent majority life trying change look order feel accepted others feel loved feel better people around mind physicality thing offer,1,1,1,1
im feeling real strong lately,1,1,1,0
glimpsed visitor could feel disturbed somehow whether mad confused something similar,0,0,0,0
feel quite needy recourse amp u http cabeal,0,0,0,0
im feeling way trusting,1,1,1,1
make feel christ isnt delicious creature youve ever seen,1,1,0,1
im feeling lil restless axel,0,0,0,0
feel lethargic getting pressure eye rfttttttttttsjiowefmklldkavsvdsbtwrsbdvfocxfibjxrklrgrmvaeridubneosdvfrwfd okay stressing doesnt help make worse im trying calm,0,0,0,0
must find way accept limitation older without feeling held back resentful,0,0,0,1
know signifies feeling dangerous secure relaxed guess causing undue stress,0,0,1,0
feel casual straight,1,1,1,1
expect feel sorry,0,0,0,0
forgive accepted allowed feel terrified move speak scream sleep paralysis,0,0,0,0
going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insult abuse,0,0,0,0
see shallow many life try give love atention person see distance confusion look people stop trusting others feel insulted misstreated affeccion,0,0,1,0
also feel often burden way anything nursing student nurse yet must remember may grumpy presence everyone learn somewhere boo friggety hoo medical personnel irritated nursing student,0,0,0,0
im feeling generous get older,1,1,1,1
tell whenever feel hesitant start muay thai,0,0,0,0
im feeling deprived although wake ravenous morning,0,0,0,1
feel little le gloomy little optimistic little better prepared face life throw way,0,0,1,1
cant begin imagine must feel intelligent wonderful person limited way phyica disability,1,1,1,0
still feeling terrible sore throat body ache stuffy nose congested etc,0,0,0,0
feel kerry didnt supporting civil union gay equality,1,1,0,0
im gon na make feel worthless year ago im going make sure remember bad people spoke treated especially needed,0,0,0,0
forgive accepted allowed feel tortured headache,0,0,0,1
feeling really sad,0,0,0,0
adress issue attempt reason may feel le threatened supported loved,0,0,1,1
feel like job worth caring shifty,1,1,1,0
feel like rude comment im glad,0,1,1,1
secretary called fran landed dublin whim much surprise found permanent job chance feel homesick head back holyhead,0,0,1,1
feel like reached plateau im buying much use feeling satisfied wardrobe personal style,1,1,1,1
feel ashamed readily turn aside,0,0,0,0
feel like lame wife,0,0,0,0
feel honored enjoy enough create,1,1,1,1
energetically pursuing goal feel agitated unable sit still,0,0,0,0
feel little frustrated ache longing settled heart weariness life slipped around shoulder like unwelcome friend,0,0,0,0
love thinking lately feel free comment tell idiot whatever,1,1,1,0
feel soo disturbed,0,0,0,0
didnt get wink sleep night continued feeling fabulous next morning,1,1,1,0
also feel rude see family doctor approach together ailment,0,0,0,0
need feel confident stroke play recently injured wrist found x tremus best helping recover yet still play,1,1,1,1
im sorry way feel problem resolved,1,1,0,1
feel incredibly relieved,1,1,1,1
seriouly feel respected dont privacy ordered around,1,1,1,0
even feel valuable person,1,1,1,1
think common one everyone experienced doom gloom feeling feel like something tragic happened,0,0,0,0
feel unimportant even fucking funny,0,0,1,0
consulted aunt doctor partially wanted counsel without copay mostly feeling doctor would skeptical,0,0,0,0
hope one day escape tia place feel held back inhibited reaching potential isnt decide pray,0,0,1,0
watch drama order feel like mood isolated incident,0,0,1,1
could continue feeling awful cry friend focus wronged end feeling worse,0,0,0,0
know people may cringe feel something say wan na get mad well get mad,0,0,0,0
idea particular region seems lack visibly necessary outer carniola well feel actually somewhat bothered possible evidence lack suburban spirit,0,0,0,0
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,0,0,0,0
know feel fantastic,1,1,1,1
already feel atmosphere around seems dangerous,0,0,0,0
feel lead many people caring get real job sin cara,1,1,0,0
dont much art online feel properly represents skillz unfortunate scenario know,0,0,0,0
always plant big section lettuce leave open pesky bunny feel rebellious raiding garden,0,0,0,0
hoping still feeling playful day,1,1,1,1
feel offended form make big end doesnt bother ive learned show ball past say think anonymous would give weight content comment would question behind,0,0,1,0
every feel free,1,1,1,1
always im feeling sociable extreme,1,1,1,0
feel defective,0,0,0,0
something give katy danny course stalk blog course couldnt leave erica feeling unloved,0,0,0,0
identify independent admittedly sometimes fault strapped time make feel needy,0,0,0,0
feel dull idiot,0,0,0,0
feel confident already href http johnnykaje,1,1,1,1
im sure know feeling cant bothered feel poo,0,0,1,0
feeling wasnt innocent,1,1,0,0
feel important revolves around connection felt brother sister,1,1,1,1
want wonderful feel passionate career,1,1,1,1
feel greedy selfish,0,0,0,0
feel disillusioned,0,0,0,0
feel defeated like lion prey,0,0,0,0
feel resentful take care u getting want,0,0,1,0
strong weak knowing would surely improve person something id like know everyone else feel would worthwhile pursuing,1,1,1,1
feel devastated,0,0,0,0
feel bit stressed feel like im supposed something time reading,0,0,1,0
feeling something ive never ever felt unpleasantly pleasant,1,1,1,1
feeling optimistic much possible next hour kid come home,1,1,1,1
truly felt left friday smiling feeling respected thinking teasing little heathen loved enjoys arousing animal delight,1,1,1,1
fit never despite fact gave option would still choose outsider combined lack creativity originality dare say utter conformity student body make feel depressed,0,0,0,0
million untrieds get ive decided make list im using random number generator im feeling indecisive,0,0,0,0
feel successful right,1,1,1,1
feel like may missed opportunity,0,0,1,0
grandmother came stay u permanently difficult person stay started telling false story u people,0,0,0,0
im feeling bit pathetic today cant stop cry,0,0,1,0
feel bit confident kicking karate diagonal cut kendo though much work remains,1,1,1,1
understand bernie want guaranteed spot team feel get respect deserves loyal staying team long,1,1,1,1
ive decided ex real strong feeling whether love extremley caring cant friend eventually blow face,1,1,1,0
feel dull drowsy time,0,0,0,0
feel doomed botany lec final later,0,0,0,0
look life beautiful family fact feel truly blessed ive asked god universe happened beyond imagination fathomed,1,1,1,1
im feeling anxious im really trying project exact opposite,0,0,0,0
trapped mall starting feel like mallrat hated,0,0,0,0
feel guilty dont need constantly check,0,0,0,0
feel regretful might done dont think remember,0,0,0,0
decided focus feeling need met situation rest calm enjoyment relaxation,1,1,1,0
know feel bothered,0,0,0,0
feel calm routine rinse wash detergent rinse take outside line dry,1,1,1,1
loved made feel elegant wore,1,1,1,1
think beach favorite place although get feeling would quite fond desert also,1,1,1,1
feel even bothered bothered boy probably even thinking,0,0,0,0
take look try get used feeling touch innocent,1,1,1,1
feel worthless he pick airport,0,0,0,0
really thought liked feeling actuality hated personality,0,0,0,0
feel loved blessed thank allah,1,1,1,1
also lb feel good still another go least well thats plan anyway,1,1,1,1
im sat work late shift putting finishing touch tomorrow paper feeling ever slightly delicate,1,1,1,1
put le powerful pain med drip didnt feel control liked drug better,1,1,1,1
feeling fine,1,1,1,1
didnt feel pressured like wont get anything one day,0,0,0,0
feel honoured luckily get post card,1,1,1,1
feeling thankful warm sunshine crisp autumn air bright fall color,1,1,1,1
know feel heart aching sadness loss good kind people connected loss href http,0,0,0,0
feel like im supportive encouraging one come healthy eating fitness,1,1,1,1
phone one best friend day told feel successful,1,1,1,0
present two photo side side one photo remember feeling cute day,1,1,1,1
deny right feeling disillusioned avon,0,0,0,0
started feel uncomfortable buzzy short breath mildly panicky,0,0,0,0
mostly feel cause hateful memory girl used run everchanging sailormoon gateway think still making name stupid mean,0,0,0,0
beginning feel anxious asked help,0,0,1,0
feel like service core relatively useless,0,0,0,0
feel privileged know every one,1,1,1,1
im great gone class feeling gone replaced sense melancholy body used able move,0,0,1,1
might go get car wash feeling really generous car need,1,1,1,1
think worse feel shoe would devastated least far concerned sort blue,0,0,0,0
hope simply transferred another benedictine monastery feel disillusioned walked away monastic life altogether,0,0,1,0
say feeling betrayed never pleasant feeling begin,1,1,0,0
go sleep feeling reluctant let go day,0,0,0,0
feel determined ever help people facing challenge part change infrastructure society whole cycle inequality put end,1,1,1,1
im always able capture essence way see world writing feel weird way thinking generally consistent throughout short year,0,0,0,0
asked feeling outraged,0,0,0,0
closed eye anger feeling disgusted touch,0,0,0,0
watched football match old friend performance team good team member full spirit match excellent every time goal scored felt excited,1,1,1,1
know im feeling agitated side effect high dose,0,0,0,0
might buying stuff feel clothes casual,1,1,1,0
grabbed shoe sock lazy got car teacher greeted omg nice feel really bad,0,0,0,1
feel sympathetic empathetic towards,1,1,1,1
woke emotionally drained anxious immediately defense rise feel irritated story life,0,0,0,0
im excited feel like project passionate totally immerse,1,1,1,1
believe child deep depth soul feel longing mother,1,1,0,0
feel tortured much,0,0,0,0
feel honored grateful wonderful people entrusted u beautiful boy son,1,1,1,1
would certainly feel im suppose feeling brave,1,1,1,1
feel lot jaded fan rating based seen heard played,0,0,1,0
would feel devastated every channel click tv another sport event maybe sport event different language,0,0,0,0
feel rejected must measure,0,0,0,0
sometimes worry feeling offended hurt wrong said someone make nasty reply back didnt feel people,0,0,0,0
feel fucking rebellious rule regimented like class start theyre taking roll,0,0,1,0
help feeling considerate care owner,1,1,1,0
feeling jealous remind story keep path better living,0,0,1,0
know issue question feeling etc going resolved,1,1,1,1
feel someone wronged feel wronged get riled action find offensive unsheathe sword good lord better look,0,0,0,0
im sure something come day im feeling little artistic,1,1,1,1
know next step longer feel lost,0,0,0,1
feel lethargic find reason move even full bladder threatening burst,0,0,0,0
remember someone could feel comfortable around,1,1,1,1
feel energetic year,1,1,1,1
feel heart much im hurt,0,0,0,0
find cant much used without feeling exhausted,0,0,1,0
feel blessed grateful people life richness bring,1,1,1,1
sit seeing random picture colored christmas light feel heart hurt missing much,0,0,0,0
feel bit inadequate every aspect break,0,0,0,0
feel heartbroken confused blah blah blah,0,0,0,0
feel lucky nice able buy lovely resource little one care,1,1,1,1
feel like ludicrous speed,0,0,1,0
im convinced make since talking never feel sincere execution maybe theme life seem large ever fathom point already feel like emotionless pit self craving attention,1,1,1,0
feel like didnt need grasp onto something comfortable capable trying something new,1,1,1,0
love dont get wrong dont want keep feeling lame whilst learn,0,0,1,1
leave sunday feeling utterly drained ounce anything left give,0,0,0,0
feeling especially ungrateful alone time post anything,0,0,0,0
feel much time energy devoted saving whale baby seal great horned owl,1,1,1,0
guess annoyed agiatated si feel hated darn co told shes geek love amy,0,0,0,0
im looking good feeling good crappy cold im dealing,1,0,1,1
feel strongly condone violent method achieve political goal,0,0,0,0
feel product deserves positive review want leave somewhat contradictory final thought,1,0,1,1
im feeling artistic today,1,1,1,1
feel bit afraid thin thin would like know elevated thyroid hormone eat le movement improve metabolism drug still normal range within distressed end hyperthyroidism thin really healthy thin,0,0,1,0
need feel personally valued,1,1,1,1
really feel kid tortured highschool,0,0,0,0
think feeling remix result neurotic,0,0,0,0
knew needed get dragging foot combo feeling intimidated language barrier kid nap schedule,0,0,0,0
almost want post sometimes feel intimidated amazingness mom blogger seem perfectly organized home entertained child,0,0,1,1
feel lame annoying generally unliked sometimes,0,0,0,0
feeling well grouchy lazy ill sometimes forego bed favor futon couch little shut eye,1,0,0,0
feel reluctant supply motion picture score star,0,0,0,0
procrastinator endless potential passion inside yet im stuck cage soul unresolved feeling hurt resentment hold inside built even try build back,0,0,0,0
go shopping feel reluctant buy thing like even though really hard resist temptation,0,0,0,0
really want die wanted pain experiencing allowing others experience watching feeling helpless anything,0,0,0,0
feel uptight know hate constantly trying catch glimpse tv window listen,0,0,0,0
feel slightly disturbed whole thing,0,0,0,0
feel sexually threatened guy asshole fuck course im going bitch whatever need get as situation,0,0,0,0
im feeling optimistic right ill project,1,1,1,1
wrote last year feeling dull inarticulate normal,0,0,0,0
starting feel little stressed,0,0,0,0
feel ought valued far greater extent currently,1,1,1,1
learned different thing like family plan arrangement even real pain feel loved one pass,1,1,1,0
feel responsibility loving even,1,1,1,1
feel naughty girl friend,1,1,1,0
feel sorry album like nd law living thing four five fantastic album compete,0,0,1,0
attempt convince others think truly feel become resentful others let help,0,0,1,0
feeling pretty sad look like wont able plant tomato garden year,0,0,1,0
feel reassured safety canada food supply government food inspection agency govern safety food,1,1,1,1
im feeling quite lethargic somehow today worn lately barely time sit im constantly foot originally wasnt complaining helping lose weight youre starting get poorly good move around lot,0,0,1,0
creative group friend go im feeling creative,1,1,1,1
feel relaxed fine,1,1,1,1
outsider never felt part new made feel disheartened,0,0,0,0
begin feel every waking moment devoted work,1,1,1,0
bogged feeling unloved end making feel worthy love showered upon feel love joy feel deep within unworthy,0,1,1,0
feel glad someone fine burying face crotch,1,1,1,1
feeling absolutely ecstatic morning,1,1,1,1
could feel frantic need need make,0,0,0,1
feel blessed said numerous time met many nice caring people blogging world,1,1,1,1
used share feeling thought lovely roomates shermin joey,1,1,1,1
im already feeling emotional chance say anything turn say love,0,0,1,1
im feeling disillusioned buying cheap mass produced clothes,0,0,0,0
feel like enables rotten as even total,0,0,0,0
got feel lovely weight,1,1,1,1
ive feeling terrific recently world best friend around make feel,1,1,1,1
feeling liked,1,1,1,1
also love complimented substantially feel like look shitty,0,0,1,1
im feeling lucky button google,1,1,1,1
left feeling uncertain exactly pulse offer series,0,0,0,0
feeling follow sweet luke around everywhere go,1,1,1,1
love earning money grew lower middle class family feel appreciative money,1,1,1,1
suppose fairly normal feel doomed life shit around,0,0,0,0
ill make local friend go movie know fact wont even without meaning cause seriously doubt actual intention hurt feeling actually call heartless moral brainless came across way,0,0,0,0
feeling homesick decided venture relatively new part town,0,0,0,0
havent like lately seriously feeling depressed,0,0,0,0
really feel guilty,0,0,0,0
feel confident good one,1,1,1,1
love treadmill actually used actually feel intimidated running outside,0,0,1,1
care feel unimportant shit together enough dont need anymore,0,0,0,0
kneel front bed lower head older man crotch ni ya surprised feel tender kiss planted hip inner thigh,1,1,1,1
feeling hesitant right going alone trying remain optimistic,0,0,0,1
admit feel little hesitant embedding music video case,0,0,1,0
feel gift card thought rude,0,0,0,0
feel amused pic,1,1,1,1
feel bothered fact u given many chance see least bit appreciation utter gratefulness downright soul,0,0,1,0
feel like someone really learn stress live ultimately benign universe,1,1,1,1
feel glad chosen batch,1,1,1,1
feel wholly completely loved well day,1,1,1,1
feel like rebellious year old stand doorway flicking light depth spirit,0,0,1,0
stopped feeling cold began feeling hot,0,0,1,1
teared already felt stressed havent telling anyone showing much feel stressed school,0,0,0,0
nearly caused traffic accident car,0,0,0,0
restless feel lethargic rudderless,0,0,0,0
dont know feel disheartened,0,0,1,0
also get feel proud weight loss completed month time lost around kg approx pound,1,1,0,1
feel honoured reader understand incorporate sport,1,1,1,1
feeling sad today dont know fix,0,0,0,0
feel romantic wear raphael coat,1,1,1,1
feel left alone,0,0,0,0
feel like isnt happy one,1,1,0,0
feel important give view regarding event took place general synod last week,1,1,1,1
feel utterly exhausted unable function,0,0,0,0
im feeling distracted little bit flighty,0,0,0,0
feel even hated,0,0,0,0
im currently trying implement change life already feel valuable business family,1,1,1,1
stand feeling threatened looking shoulder,0,0,0,0
feel depressed moody lethargic tired,0,0,0,0
im still feeling bit shaken,0,0,1,0
feel resentful,0,0,0,0
feel resentful ungrateful negative fearful feel navigate day dead weight float around thing engaged,0,0,0,0
looked feasted view leg knee memorized feel car gentle rocking,1,1,1,1
feel like sociable someone going chilling somewhere,1,1,1,1
always feel always understand people hateful harmful towards hurting taught wrongly hurt want go back undo pain childhood bigotry bind life path,0,0,0,0
im feeling slightly intimidated,0,0,0,0
mane feeling generous release new lp diary trap god free,1,1,1,1
began focus scripture good hour ago still feel like rejected woman control feeling abandonment begun subside,0,0,0,0
feel like hot mess,1,1,1,0
always feel like love annoy u especially something dont like disturbed anybody,0,0,1,0
sat feeling helpless like moment episode walking dead,0,0,0,0
girl entered division work greeted everybody,0,0,1,1
got handle story actually started get feel shape liked,1,1,1,1
start feel agitated,0,0,0,0
feel foot hurt bit maybe care rest happily strutting street great city,0,0,1,0
however feel bit envious people different perfume different season,0,0,0,0
really feeling skeptical politician lately tomfoolery shenanigan going washington nice read book subject people taking action though advocate action took,0,0,1,0
breathe scent first time feel embrace friendly hug five year,1,1,1,1
feel rich pas see penny,1,1,1,1
feel jakun amused whole minute,1,1,1,1
remember totally different feel faithful duke watcher growing,1,1,1,1
tell pm work feel weepy,0,0,0,0
feel miserable,0,0,0,0
feel lot contented lived moment trip photo,1,1,1,1
longer feel timid insecure walked,0,0,0,1
feeling joyful might urge,1,1,1,0
feel regretful getting high hope coz thought got damn job spurging thing dont need use money get something decent u,0,0,0,0
feel lot almost every day hurt blog timely,0,0,0,0
want tell everyone exactly im feeling soon start feel ten time pathetic stop talking,0,0,0,0
im feeling grumpy,0,0,1,0
feel like life rich fulfilling know people look way live feel misplaced pity,1,1,1,1
feel like abandoning way supportive move,1,1,1,1
feel cold coming drink little extra xango juice stiff sore,0,0,0,0
hope deeply affend anyone maybe know feel year faithful catholic told going hell anyways privacy home,1,1,1,0
pub instead stayed home feeling morose depressed,0,0,0,0
beginning feel there good chance might pas,1,1,1,1
used feel sorry people felt need pretend,0,0,0,0
know ended big giveaway muse im still feeling quite generous,1,1,1,1
say never truly get choice freedom decide life make hard feel like got le dirty end really shitty stick,0,0,0,0
feel rushed prize giving really dilute event future prize giving rushed timetable,0,0,1,0
cant help wonder mom walked felt way feeling watched sweet girl isaac,1,1,1,1
wear shirt feel artistic artistic look artistic yes son,1,1,1,1
feel beaten bruised harshness wearied relentlessness,0,0,0,0
im feeling little le jaded,0,0,0,1
still need feel listened even iam idiotic naive relation,0,0,0,0
spent day cry newborn throwing carseat running kid everywhere dealing naughty toddler getting little sleep generally feeling crappy,0,0,0,0
feel ease sweet communing teach far little know,1,1,1,1
feel really listless right,0,0,1,0
learned silent crushing pain wanted feeling unloved,0,0,0,0
know really mean anything feeling crappy find really wanting give wakeup call,0,0,0,0
feel equally wronged,0,0,0,0
im feeling really excited new placement,1,1,1,1
feel dumb going,0,0,0,0
guess ive feeling agitated lately,0,0,0,0
feel im ignored,0,0,0,0
busy stuff never blog thread make feel miserable,0,0,0,0
tired feeling giggly witty,1,1,0,0
found feeling angry,0,0,0,0
feel incredibly blessed especially hectic exam period,1,1,1,1
think apologizes little much stuff control get feeling sincere one,1,1,1,1
feel smart needed,1,1,1,1
liked knowing one feeling way job option thing liked able find career path found interest,1,1,1,1
feel glamorous little lacy bottom tiny g string underneath,1,1,1,1
think told dad feel skeptical u,0,0,0,0
